Gene	sgRNAs included	KBM7 CS	KBM7 adjusted p-value	K562 CS	K562 adjusted p-value	Jiyoye CS	Jiyoye adjusted p-value	Raji CS	Raji adjusted p-value
SRRD	10	-0.672	0.099500347	-0.562	0.416144519	0.000	0.892873934	0.624	0.003143521
SRRM1	10	-1.616	0.000149172	-1.578	0.045452185	-1.910	3.07E-05	-2.124	0.000752193
SRRM2	8	-1.603	0.000918934	-1.695	0.085114894	-1.460	0.000978597	-1.860	0.001141865
SRRM4	8	0.103	0.384537031	0.224	0.392045666	0.119	0.495670723	0.111	0.755960703
SRRM5	9	0.007	0.464938289	0.078	0.435223825	0.195	0.556767415	0.192	0.474085883
SRRT	9	-2.354	0.000357081	-2.584	0.041046861	-2.231	0.002905709	-1.550	0.001349266
SRSF1	10	-2.438	0.002055655	-4.192	0.000187957	-2.222	0.000206021	-2.162	0.000708664
SRSF10	9	-0.742	0.027949157	-2.186	0.019746559	-0.170	0.667003281	-0.546	0.176269063
SRSF11	10	-0.479	0.072150165	-0.343	0.777478893	-0.587	0.028911466	-0.554	0.133228197
SRSF12	9	-0.414	0.588066511	-0.405	0.753497609	0.013	0.969637298	-0.014	0.928404588
SRSF2	10	-3.042	3.40E-05	-4.555	7.84E-05	-3.904	6.55E-05	-3.133	2.00E-05
SRSF3	9	-1.753	0.000890669	-3.564	8.92E-05	-1.765	0.005199713	-2.021	0.00545164
SRSF4	10	-0.072	0.926518216	-0.655	0.238123911	-0.064	0.94943955	-0.070	0.992124234
SRSF5	9	-0.360	0.641099874	-0.186	0.610580569	-0.116	0.880327462	0.042	0.812114191
SRSF6	9	-0.877	0.177275639	-0.302	0.723360262	-0.412	0.662093062	-0.511	0.422554795
SRSF7	10	-2.010	0.009096402	-2.611	0.028919972	-1.509	0.017390009	-2.110	0.000241595
SRSF9	10	-0.435	0.227608847	-0.114	0.922375759	-0.001	0.701953845	0.505	0.072074947
SRXN1	8	0.275	0.377961689	-0.196	0.855855379	0.288	0.571377075	0.109	0.41560665
SRY	10	0.523	0.007871563	0.905	0.002938085	0.338	0.047189771	0.366	0.13692801
SS18	10	0.029	0.754239105	-0.727	0.371687746	-0.185	0.891370499	0.492	0.024582179
SS18L1	9	-0.047	0.564433308	0.016	0.457895342	0.067	0.940845709	-0.117	0.94319528
SS18L2	8	-2.829	0.000773366	-3.672	0.001975287	-2.078	0.001369043	-1.351	0.106039514
SSB	9	-0.406	0.733182062	-0.221	0.952386732	-0.422	0.497776578	-0.181	0.656554995
SSBP1	9	-1.153	0.083841411	-2.276	0.010268218	-0.999	0.162401941	-1.223	0.034563941
SSBP2	9	-0.247	0.998257253	-0.887	0.685590591	-0.215	0.853390503	0.109	0.836722789
SSBP3	9	-0.742	0.253790493	-2.553	0.000366187	-0.406	0.836908894	-0.451	0.172358711
SSBP4	8	-0.393	0.037779298	-0.686	0.058918445	-0.301	0.435455029	-0.657	0.051517109
SSC5D	10	0.063	0.564492946	-0.540	0.846429904	-0.016	0.6727203	0.036	0.760098642
SSFA2	8	0.144	0.328185397	0.058	0.473271188	-0.029	0.733858201	0.220	0.087328664
SSH1	8	0.033	0.385494812	-0.240	0.83752458	0.301	0.196287718	0.148	0.544269624
SSH2	10	-0.050	0.356433808	-0.170	0.427297923	-0.287	0.86154596	-0.246	0.650045317
SSH3	10	-0.413	0.498072279	-1.248	0.061274895	-0.650	0.111214472	-0.397	0.865858984
SSMEM1	10	0.290	0.121152974	0.144	0.322026437	0.211	0.548902501	0.294	0.075343944
SSNA1	10	-0.380	0.079349086	-0.041	0.664798895	0.042	0.625118171	0.014	0.949620614
SSPN	9	0.028	0.915653088	-0.249	0.96869682	0.073	0.908313978	0.245	0.738704833
SSR1	10	0.605	0.001977145	0.166	0.327160531	-0.212	0.997817728	0.303	0.236764898
SSR2	9	0.172	0.610872487	-0.140	0.902602695	-0.446	0.482152472	0.014	0.841784425
SSR3	9	0.543	0.009806049	0.110	0.762534321	0.187	0.194085121	0.135	0.887200463
SSR4	9	0.331	0.164292209	-0.760	0.892388045	-0.158	0.884329571	0.018	0.938701649
SSRP1	8	-0.916	0.034311371	-1.566	0.005684371	-1.748	0.004058866	-1.581	0.000788649
SSSCA1	9	-0.623	0.054843017	-0.670	0.2045759	-0.416	0.569653122	-0.350	0.356404274
SST	10	0.194	0.264840768	0.085	0.360983236	0.283	0.293033219	0.133	0.553726852
SSTR1	9	0.234	0.088173876	0.453	0.232590726	0.184	0.639452306	0.167	0.924790272
SSTR2	9	-0.626	0.196884523	-0.460	0.897469311	0.125	0.575310259	0.043	0.762006458
SSTR3	10	-0.447	0.486277431	-0.746	0.789436832	-0.735	0.895203616	-1.160	0.135136021
SSTR4	9	0.257	0.146831077	0.123	0.469297947	0.522	0.065669967	0.396	0.476570713
SSTR5	9	-0.487	0.530794526	-0.529	0.627163497	-0.201	0.70335018	-0.036	0.602756723
SSU72	9	-2.747	0.001453521	-3.579	0.000772618	-2.532	0.00224458	-1.429	0.001960927
SSUH2	9	0.039	0.649866567	-0.225	0.748723883	0.344	0.239617867	0.111	0.876595443
SSX1	10	-0.377	0.608198469	-0.904	0.671236874	-0.608	0.984111509	-0.079	0.85604425
SSX2	9	-0.749	0.195587208	-0.468	0.875512363	-0.370	0.838250235	0.106	0.456745478
SSX2B	9	-0.749	0.195587208	-0.468	0.875512363	-0.370	0.838250235	0.106	0.456745478
SSX2IP	10	0.288	0.258410592	0.379	0.222717688	0.401	0.222194972	0.273	0.564277141
SSX3	10	-0.315	0.82798399	-0.695	0.510713529	-0.408	0.743116776	-0.075	0.992625633
SSX4	10	-0.900	0.202567554	-1.221	0.073375819	-0.679	0.223176049	-0.236	0.722709994
SSX4B	10	-0.900	0.202567554	-1.221	0.073375819	-0.679	0.223176049	-0.236	0.722709994
SSX5	10	0.091	0.375870421	0.389	0.287079244	0.223	0.713676503	0.254	0.356413589
SSX7	10	-0.319	0.961931121	-0.390	0.969284874	-0.083	0.752581267	0.327	0.3291856
ST13	9	-0.338	0.77018504	-1.018	0.792657526	-0.571	0.827566684	-0.664	0.439508286
ST14	10	0.088	0.568366006	-0.047	0.697757811	0.420	0.043565209	-0.277	0.962568616
ST18	8	-0.192	0.878537814	0.318	0.4177099	0.041	0.847719417	0.500	0.20815627
ST20	6	-0.900	0.989675982	-0.912	0.689458317	-0.844	0.486199406	-0.808	0.641969508
ST20-MTHFS	10	-0.279	0.880429354	0.602	0.014476728	0.291	0.515921492	0.220	0.554582702
ST3GAL1	10	-0.674	0.614395155	-0.566	0.448256642	0.043	0.798860313	-0.057	0.93519385
ST3GAL2	10	-0.220	0.989271625	-1.023	0.160744127	0.040	0.95614433	-0.635	0.542046009
ST3GAL3	10	0.223	0.201464888	-0.142	0.754106514	-0.051	0.899823582	0.081	0.611793095
ST3GAL4	9	0.040	0.495105088	-0.335	0.996371756	-0.420	0.491205948	-0.148	0.960618256
ST3GAL5	9	0.047	0.576764694	-0.057	0.49571209	0.056	0.915941159	0.219	0.696671093
ST3GAL6	10	0.092	0.58199485	0.334	0.105743334	0.225	0.619309251	0.138	0.455145752
ST5	8	0.048	0.796842389	0.251	0.760962122	0.041	0.744919974	-0.146	0.697423798
ST6GAL1	10	0.100	0.410070339	-0.253	0.691319588	0.163	0.525905085	0.312	0.326242675
ST6GAL2	8	-0.114	0.928418111	-0.292	0.835824568	0.025	0.82139233	-0.333	0.61017623
ST6GALNAC1	10	0.140	0.381811123	0.035	0.231088148	0.244	0.290620658	0.080	0.854367827
ST6GALNAC2	8	-0.016	0.529262319	-0.012	0.773826593	0.290	0.587261468	-0.066	0.849717845
ST6GALNAC3	9	-0.017	0.909985252	0.204	0.20938598	0.416	0.021907705	0.228	0.448302107
ST6GALNAC4	9	-0.224	0.999815322	-0.709	0.497741942	-0.664	0.12081213	-0.794	0.104595281
ST6GALNAC5	9	0.228	0.278072998	0.310	0.412310825	0.264	0.573743942	0.055	0.824227833
ST6GALNAC6	10	-0.198	0.998257253	-0.139	0.24838291	-0.325	0.998441202	-0.481	0.060754881
ST7	10	0.295	0.112884757	-0.343	0.560706936	0.404	0.243873425	0.340	0.275522006
ST7L	9	-0.083	0.445024182	-0.123	0.949753349	0.139	0.754398978	0.393	0.12936765
ST8SIA1	8	0.263	0.544394977	-0.087	0.843253362	-0.012	0.878828305	-0.096	0.704355418
ST8SIA2	10	0.358	0.221860769	0.483	0.076367552	0.044	0.972695133	-0.104	0.958460572
ST8SIA3	10	0.046	0.745938679	0.209	0.242480487	0.215	0.759995682	0.098	0.53965672
ST8SIA4	10	0.178	0.522544913	0.347	0.179437374	0.107	0.93936804	0.055	0.466951671
ST8SIA5	10	-0.097	0.735647307	-0.360	0.873199043	-0.251	0.978722243	0.063	0.992632604
ST8SIA6	8	0.203	0.720744282	-0.016	0.932202112	-0.004	0.971020151	-0.030	0.926677836
STAB1	10	-0.542	0.158039541	-1.288	0.304023332	-0.292	0.93410015	-0.848	0.656554995
STAB2	10	0.078	0.918140929	-0.105	0.922245026	-0.115	0.847719417	-0.153	0.817839299
STAC	9	-0.043	0.757863171	-0.913	0.3525236	-0.086	0.98652761	-0.408	0.663770541
STAC2	9	-0.869	0.040822907	-0.961	0.643053085	-0.265	0.924049113	-0.592	0.40913804
STAC3	9	-0.621	0.794336528	-1.835	0.063471599	-0.497	0.694492788	-0.224	0.815975776
STAG1	10	0.143	0.800419045	-0.587	0.649474367	-1.214	0.005349839	-0.161	0.99768505
STAG2	10	-0.346	0.593314647	-0.553	0.584641537	-1.689	0.000109988	-1.604	0.002291652
STAG3	10	-0.966	0.021363188	-1.825	0.109137718	-0.533	0.811124241	-0.756	0.586192775
STAM	10	0.044	0.691145644	-0.071	0.493631955	0.171	0.223389062	0.209	0.333119142
STAM2	10	0.065	0.192192788	-0.034	0.734050329	0.213	0.625484608	0.285	0.411198346
STAMBP	10	0.001	0.845398842	0.117	0.611271714	0.070	0.95494021	0.165	0.564277141
STAMBPL1	9	0.082	0.519214935	0.061	0.563351497	-0.011	0.917975685	0.059	0.736824835
STAP1	10	0.145	0.412304431	0.391	0.035283526	0.248	0.285798698	0.364	0.076795842
STAP2	9	-0.041	0.813031905	-0.436	0.443131202	-0.295	0.838250235	-0.047	0.966839474
STAR	9	-0.307	0.629833378	0.234	0.22286943	0.163	0.703885856	0.160	0.640387724
STARD10	10	0.073	0.522264208	-0.263	0.645549277	0.147	0.941088066	-0.062	0.958317364
STARD13	10	0.073	0.724968871	0.368	0.045452185	-0.116	0.892873934	-0.212	0.892923099
STARD3	9	-0.404	0.63960229	0.097	0.413421568	0.005	0.997524868	-0.423	0.938701649
STARD3NL	9	0.528	0.030973349	0.201	0.436523593	0.411	0.183837981	0.003	0.979481118
STARD4	10	0.007	0.705348402	0.125	0.198881409	0.173	0.830314453	0.048	0.7325033
STARD5	8	-0.350	0.107976631	0.239	0.172490052	0.122	0.884410888	0.302	0.179876245
STARD6	9	0.025	0.804702928	0.611	0.176013	0.449	0.06912728	0.462	0.018613364
STARD7	9	-0.999	0.155402334	-1.281	0.369084287	-1.734	0.003733867	-0.772	0.073213982
STARD8	10	-0.447	0.915846211	-1.493	0.163459418	-0.080	0.729629852	-1.002	0.734652572
STARD9	9	-0.362	0.617895187	-0.686	0.846310776	-0.069	0.674349245	-0.154	0.931091011
STAT1	10	0.193	0.573406292	-0.106	0.989103945	0.060	0.549037944	-0.078	0.849097523
STAT2	10	0.209	0.427247226	-0.429	0.353745432	0.178	0.676267467	-0.022	0.918576151
STAT3	9	0.075	0.274104072	0.051	0.6489132	0.082	0.891630634	-0.305	0.674286141
STAT4	9	0.111	0.649432064	0.457	0.055366386	0.237	0.332562964	0.274	0.093034743
STAT5A	10	0.017	0.49819421	-0.154	0.95995536	0.112	0.892873934	-0.014	0.865419861
STAT5B	10	-2.534	4.98E-05	-1.081	0.065620685	0.059	0.934747234	-0.009	0.942904466
STAT6	8	-0.257	0.272221311	-1.036	0.123404435	-0.634	0.806400975	-0.411	0.108332494
STATH	10	0.157	0.462108718	0.699	0.01625191	0.035	0.704844685	0.447	0.035116554
STAU1	10	-0.124	0.86570097	-0.260	0.77101667	0.213	0.337480873	0.133	0.319113768
STAU2	10	-0.108	0.996404141	-0.081	0.543831597	0.217	0.512206314	0.277	0.41559901
STBD1	8	0.114	0.392118259	0.422	0.041233747	0.162	0.818380796	-0.079	0.875509062
STC1	10	0.084	0.484834425	0.120	0.544897148	0.293	0.473935448	0.275	0.215541629
STC2	10	0.234	0.334044353	0.102	0.70074066	0.502	0.017639038	0.377	0.140986202
STEAP1	10	0.276	0.047009263	0.077	0.35424749	-0.281	0.864672624	0.318	0.106229351
STEAP1B	10	0.428	0.092774561	0.527	0.061840896	0.093	0.694385874	0.333	0.015485115
STEAP2	8	0.418	0.16437296	-0.124	0.328204205	0.227	0.318815319	0.327	0.312222228
STEAP3	9	-0.818	0.051954753	-1.649	0.06751648	-0.111	0.990971919	-0.320	0.661187804
STEAP4	10	0.115	0.392396576	0.412	0.049330633	0.070	0.63208069	0.327	0.089051552
STH	9	-0.214	0.614395155	-0.143	0.869123013	-0.415	0.578952028	-0.256	0.362245624
STIL	10	-0.890	0.014510868	-0.563	0.681109729	-1.299	0.003533361	-0.825	0.003160918
STIM1	10	-0.250	0.992453199	-0.377	0.716589935	-0.104	0.998786865	-0.365	0.605594551
STIM2	9	-0.036	0.9701886	0.252	0.626357784	0.066	0.831735333	-0.323	0.397530726
STIP1	9	0.054	0.482750547	-1.699	0.000474513	-0.041	0.959960659	-0.174	0.69434452
STK10	9	0.195	0.323437921	-0.429	0.882319717	-0.057	0.351904367	0.109	0.637742162
STK11	8	-1.781	0.00130925	-0.376	0.210811236	-1.587	0.000570654	-0.313	0.343716512
STK11IP	10	-0.235	0.8208059	-0.607	0.975938612	0.138	0.490862674	-0.184	0.994204636
STK16	10	0.291	0.21771949	-0.161	0.538846618	0.033	0.629831841	0.231	0.422969169
STK17A	10	0.147	0.258503441	0.128	0.1132479	0.074	0.755362078	0.095	0.840196211
STK17B	9	-0.214	0.819084889	0.466	0.037905809	0.080	0.70335018	0.221	0.290844933
STK19	10	-0.317	0.702948748	-0.474	0.624600401	-0.104	0.877915149	-0.158	0.689490924
STK24	10	0.085	0.430720241	0.345	0.106163377	-0.136	0.86154596	0.138	0.75928362
STK25	9	0.063	0.895751693	-0.038	0.427804955	-0.231	0.714825579	0.104	0.736105531
STK3	10	-0.472	0.801168714	-0.351	0.698818695	-0.661	0.936108166	-0.575	0.647911776
STK31	8	0.281	0.412902595	0.373	0.222630291	0.284	0.536222346	0.137	0.39086436
STK32A	8	-0.163	0.649432064	-0.171	0.359379541	-0.282	0.450120656	-0.108	0.432190547
STK32B	10	-0.303	0.932518541	0.296	0.217329221	-0.204	0.998786865	-0.073	0.875509062
STK32C	9	0.153	0.430117589	0.192	0.294726744	0.026	0.950894022	0.182	0.478492192
STK33	8	0.403	0.009810841	0.241	0.442435646	0.027	0.681395216	0.079	0.556700042
STK35	9	-0.031	0.989545872	0.080	0.615654823	0.258	0.547428492	0.302	0.205815694
STK36	9	-0.725	0.368306908	-0.046	0.374618236	-0.554	0.611855781	-0.229	0.924785347
STK38	10	-0.289	0.582760667	-0.402	0.652133933	0.274	0.388719834	0.257	0.497443049
STK38L	8	-0.048	0.837873426	-0.442	0.683911644	-0.076	0.97773588	0.384	0.198722165
STK39	10	-0.109	0.566227859	-0.164	0.682660033	0.274	0.146334964	0.093	0.760098642
STK4	10	-0.096	0.842126191	0.098	0.724104898	0.022	0.783428265	-0.068	0.970988531
STK40	10	-0.061	0.796421739	-0.305	0.769198752	-0.310	0.328903835	0.014	0.912067491
STMN1	9	-0.221	0.885113553	0.099	0.288927325	0.026	0.978878136	0.311	0.459235296
STMN2	9	-0.018	0.282179383	0.157	0.717628961	0.052	0.968791864	0.258	0.619594106
STMN3	8	-0.304	0.82858614	-0.043	0.584912659	0.137	0.922352221	-0.175	0.85880735
STMN4	10	-0.328	0.754414473	-0.070	0.799410972	0.155	0.835312344	0.040	0.682680613
STMND1	9	-0.289	0.910943935	-0.037	0.274647348	-0.183	0.995593043	0.093	0.211938154
STOM	10	0.072	0.636224517	0.340	0.113539425	0.449	0.109837466	0.458	0.241897889
STOML1	10	-0.211	0.852049756	0.341	0.305845607	0.294	0.451443678	0.018	0.525560698
STOML2	10	-0.711	0.037329507	-0.518	0.481710516	-0.174	0.720132793	-0.280	0.817998318
STOML3	8	0.075	0.523994393	0.401	0.167007833	-0.220	0.947146143	0.063	0.636078609
STON1	10	0.070	0.351729239	-0.292	0.864404064	0.106	0.817182322	0.098	0.692227989
STON1-GTF2A1L	10	0.032	0.704511917	-0.178	0.877906265	0.154	0.817182322	0.008	0.722025151
STON2	9	-0.011	0.743214926	0.335	0.13213024	0.017	0.953208299	-0.214	0.572701749
STOX1	10	-0.039	0.832047978	-0.570	0.865685106	0.242	0.63898173	0.134	0.772873322
STOX2	10	0.131	0.907082733	0.119	0.582313459	0.152	0.658721556	0.333	0.165579304
STPG1	9	0.114	0.579950415	-0.293	0.510315583	0.146	0.627642533	-0.035	0.796333288
STPG2	8	0.113	0.471473823	0.115	0.446082999	0.301	0.729986947	0.197	0.795467889
STRA13	9	-0.370	0.671274848	-0.349	0.616447106	-0.048	0.891370499	-0.240	0.799943795
STRA6	9	-0.335	0.476208334	0.006	0.709053086	-0.180	0.818586489	0.233	0.385242567
STRA8	9	0.259	0.436153514	0.006	0.921038212	0.195	0.731674048	0.214	0.552755678
STRADA	9	0.057	0.843987166	-0.057	0.867499071	-0.279	0.779847414	0.335	0.151475437
STRADB	10	0.147	0.329571873	-0.009	0.175612918	-0.019	0.978722243	-0.166	0.98209926
STRAP	10	-1.313	0.025316524	-1.530	0.043856142	-0.349	0.519491783	-1.316	0.02858711
STRBP	10	-0.077	0.789032426	-0.349	0.58498794	-0.051	0.81768636	-0.410	0.842197628
STRC	10	0.453	0.013734414	0.503	0.100936439	0.297	0.467846927	0.469	0.088536013
STRIP1	10	-1.493	0.004485641	-1.596	0.000821448	-1.425	0.000278953	-0.459	0.558841375
STRIP2	10	0.155	0.434226578	-0.351	0.805419417	0.245	0.197910765	0.115	0.56202956
STRN	10	-1.172	0.018394863	-1.160	0.168353001	-0.561	0.842337523	-0.308	0.895896331
STRN3	10	-0.051	0.841542991	-0.108	0.809282327	-0.470	0.714625829	0.014	0.841784425
STRN4	10	-0.594	0.880587966	-0.927	0.658991461	-0.333	0.907446258	-0.715	0.754675893
STS	10	0.172	0.496574397	0.339	0.237562592	0.439	0.519751386	0.410	0.1444196
STT3A	10	-0.084	0.982772088	-0.038	0.106671528	-0.578	0.653210551	-0.140	0.820187364
STT3B	9	-0.295	0.747270106	-0.841	0.910878577	0.231	0.703526865	-0.583	0.702493724
STUB1	8	-0.782	0.177543355	-0.629	0.354015817	0.222	0.788115063	-0.453	0.585132533
STX10	8	0.127	0.566434153	-0.377	0.634526783	0.017	0.754398978	-0.122	0.870709252
STX11	10	0.050	0.700780668	-0.450	0.583818721	0.200	0.829841391	-0.498	0.7647244
STX12	10	0.062	0.83259922	0.283	0.138815681	0.060	0.933415585	-0.110	0.940017778
STX16	9	0.101	0.515897374	0.434	0.131178123	0.233	0.619579946	-0.430	0.111151373
STX17	10	0.093	0.387297972	0.528	0.004263389	0.161	0.31671214	0.379	0.035435348
STX18	10	-0.685	0.396946603	0.001	0.689458317	-0.459	0.28706528	-0.269	0.813134147
STX19	10	0.181	0.161960774	0.669	0.007009866	0.199	0.825307382	0.201	0.53965672
STX1A	10	0.072	0.430117589	-0.101	0.9084491	0.218	0.639812564	0.287	0.099226258
STX1B	9	-0.010	0.693571458	0.518	0.216786979	-0.195	0.534374317	0.210	0.80775328
STX2	10	-0.053	0.959946884	-0.010	0.853340027	-0.095	0.757522961	0.061	0.642400589
STX3	10	-0.076	0.814167667	-0.240	0.927499518	-0.161	0.781172891	-0.148	0.701946154
STX4	7	-0.438	0.702948748	0.061	0.56673843	0.020	0.970342788	-1.002	0.026722377
STX5	10	-0.655	0.374295186	-1.171	0.141582684	-0.569	0.375945259	-0.544	0.7325033
STX6	10	0.203	0.286799999	-0.311	0.932520839	0.210	0.643558893	0.184	0.451476742
STX7	10	0.085	0.847168143	0.120	0.806361949	0.137	0.833642685	-0.031	0.89276927
STX8	9	-0.267	0.474307753	-0.033	0.504762553	-0.503	0.956261277	-0.081	0.154464291
STXBP1	8	-0.338	0.643421115	-0.987	0.289238505	-0.501	0.723570408	-0.354	0.810057562
STXBP2	9	-0.052	0.952399305	-0.645	0.54352595	-0.243	0.957380229	-0.532	0.189905047
STXBP3	7	-0.576	0.231326662	-0.272	0.494135895	0.019	0.876094695	-0.426	0.742432951
STXBP4	10	0.058	0.770618876	0.053	0.555439521	0.048	0.881390481	-0.063	0.934638245
STXBP5	9	0.327	0.120927311	-0.046	0.827750378	0.062	0.765288324	-0.181	0.883660624
STXBP5L	10	-0.139	0.985030497	-0.061	0.873615541	0.044	0.985588591	0.178	0.719195488
STXBP6	10	0.160	0.513256806	0.290	0.238207943	0.079	0.962168961	-0.106	0.885229515
STYK1	10	0.093	0.525840977	0.338	0.377679273	0.150	0.603442995	0.223	0.546996429
STYX	10	0.026	0.696681459	-0.089	0.966319153	-0.006	0.737786081	0.065	0.918396567
STYXL1	8	-0.163	0.985056724	0.126	0.461068974	0.046	0.941088066	-0.044	0.997200089
SUB1	5	-1.073	0.252302151	-0.130	0.875359829	0.131	0.619579946	-0.258	0.670542296
SUCLA2	9	0.074	0.724839498	0.072	0.53877517	-0.782	0.29773539	0.534	0.050799742
SUCLG1	10	-0.410	0.301665014	-0.863	0.076367552	-2.243	0.000403983	0.086	0.779432559
SUCLG2	9	0.037	0.944254534	0.089	0.564145354	0.150	0.644742257	0.209	0.753072951
SUCNR1	10	-0.131	0.405407339	0.142	0.50979919	-0.151	0.973651408	-0.454	0.038015349
SUCO	8	-0.161	0.419549064	0.003	0.491783676	0.190	0.266723535	-0.152	0.616514542
SUDS3	9	-1.195	0.018122679	-1.039	0.129980134	-1.344	0.095281913	-1.133	0.010413766
SUFU	10	0.073	0.704511917	-0.147	0.68478212	0.177	0.720931102	0.060	0.89168302
SUGP1	9	-1.053	0.020882678	-1.805	0.036975163	-1.327	0.004457584	-1.245	0.018979946
SUGP2	10	-0.298	0.463957198	-0.493	0.52638206	-0.108	0.999981366	-0.246	0.909855466
SUGT1	9	-1.116	0.033764869	-1.623	0.312740533	-0.535	0.886002485	-0.540	0.659352048
SULF1	8	-0.376	0.844791639	-0.129	0.752163683	0.169	0.92058416	-0.282	0.640097418
SULF2	10	0.251	0.173980277	0.149	0.799160033	-0.292	0.461198281	-0.053	0.928041854
SULT1A1	9	0.219	0.197096657	0.313	0.065620685	0.038	0.666004335	0.090	0.633121402
SULT1A2	9	0.445	0.049215006	0.229	0.275609082	-0.045	0.915449673	0.313	0.223589302
SULT1A3	10	-1.505	0.001352626	-0.808	0.329537174	-1.091	0.002747711	-0.514	0.754538989
SULT1A4	10	-1.505	0.001352626	-0.808	0.329537174	-1.091	0.002747711	-0.514	0.754538989
SULT1B1	10	0.251	0.139615291	0.499	0.030419219	0.157	0.718154248	0.503	0.023126806
SULT1C2	10	-0.201	0.980040459	-0.332	0.848271987	-0.261	0.97606955	-0.251	0.94563798
SULT1C3	10	0.100	0.711314431	-0.163	0.812634867	-0.355	0.930729691	-0.103	0.980526268
SULT1C4	9	0.204	0.365423077	-0.173	0.340550384	0.173	0.821449737	0.140	0.842050835
SULT1E1	10	0.157	0.227005417	0.557	0.013874336	0.218	0.741967323	0.252	0.323863267
SULT2A1	10	0.073	0.44580928	-0.151	0.910391956	0.053	0.794393899	0.339	0.51197411
SULT2B1	9	-0.080	0.852049756	-0.478	0.35570126	-0.327	0.965444045	-0.294	0.874745116
SULT4A1	10	-0.478	0.48344812	-0.037	0.795049644	-0.068	0.757344753	0.100	0.924785347
SULT6B1	10	0.062	0.660765397	0.043	0.256946655	-0.019	0.733387906	0.198	0.252336043
SUMF1	10	0.000	0.791073049	-0.243	0.758544932	0.222	0.676267467	0.106	0.877928052
SUMF2	8	-0.159	0.998257253	0.054	0.621792085	0.417	0.090392006	0.080	0.425054562
SUMO1	6	-0.078	0.329481235	-0.795	0.967890149	-0.003	0.929395594	-0.140	0.85604425
SUMO2	8	-0.670	0.245976391	-1.803	0.075762414	-0.365	0.636328084	-0.901	0.591197473
SUMO3	10	0.145	0.372102598	0.131	0.626888199	-0.044	0.842025733	-0.034	0.790494493
SUMO4	10	0.392	0.018394863	0.298	0.110809476	0.369	0.413506121	0.480	0.223869032
SUN1	8	0.335	0.329709508	0.243	0.176013	0.226	0.6293887	-0.097	0.986208134
SUN2	9	-0.697	0.783425859	-1.923	0.357662271	-1.213	0.726325984	-0.528	0.587047508
SUN3	10	0.105	0.601875295	0.161	0.427112071	0.201	0.444066554	0.164	0.806563409
SUN5	10	0.029	0.702117203	-0.049	0.583362489	0.182	0.474485169	0.261	0.618039951
SUOX	10	-0.049	0.90029281	-0.505	0.770480995	-0.008	0.997817728	0.103	0.770600193
SUPT16H	9	-1.602	0.096493135	-2.414	0.0112174	-2.631	0.000335287	-2.052	0.004005491
SUPT20H	9	-1.167	0.029155205	-1.158	0.143401605	-1.533	0.013929714	-0.915	0.159157117
SUPT3H	10	0.220	0.348025025	-0.340	0.68405737	-0.025	0.806868954	0.276	0.20750098
SUPT4H1	9	-0.493	0.508472125	-0.913	0.541480231	-0.918	0.274366245	-1.799	0.002477138
SUPT5H	10	-2.174	0.000321097	-2.641	0.001751142	-2.456	0.00012908	-2.221	0.001019892
SUPT6H	9	-1.901	0.000820558	-1.462	0.001080583	-1.902	0.008381992	-1.849	0.02235233
SUPT7L	10	-1.058	0.001599729	-1.824	0.00159242	-0.671	0.385226082	-0.672	0.326554526
SUPV3L1	8	-1.982	0.000260865	-4.293	0.000197587	-2.735	0.0014391	-1.114	0.107926852
SURF1	9	-1.031	0.039149414	-0.191	0.440521187	-0.815	0.293352791	-0.791	0.250913548
SURF2	9	0.015	0.963983039	-0.341	0.618693868	0.087	0.9556217	-0.230	0.874626214
SURF4	10	-0.060	0.807882573	-0.401	0.420870157	-0.334	0.389315434	-0.371	0.147687894
SURF6	8	-0.829	0.170325136	-0.659	0.390029527	-1.000	0.174777672	-0.783	0.052767462
SUSD1	8	-0.058	0.90315066	0.294	0.542603646	0.131	0.931227416	0.153	0.433509223
SUSD2	8	0.425	0.02710659	-0.067	0.859794664	0.342	0.433505088	-0.025	0.794015561
SUSD3	10	-0.157	0.663090705	-0.486	0.938911203	0.127	0.507169993	-0.138	0.990867592
SUSD4	10	-0.012	0.459881697	-0.465	0.821784684	0.142	0.618701059	0.153	0.84365482
SUSD5	8	0.051	0.743170098	-0.199	0.75422721	0.178	0.634692701	-0.053	0.93993889
SUV39H1	8	-0.871	0.030683165	-0.691	0.320360028	-0.280	0.666004335	-0.296	0.96464101
SUV39H2	10	0.133	0.257092086	0.156	0.500865781	0.168	0.593195241	0.112	0.795467889
SUV420H1	9	-0.397	0.366663759	-0.170	0.918297435	-0.254	0.820277215	-0.259	0.497222982
SUV420H2	10	0.206	0.348025025	-0.457	0.229533273	-0.104	0.958650536	-0.270	0.726009143
SUZ12	9	-1.633	0.000637451	-0.857	0.173512333	-0.372	0.115165008	-1.202	0.040471277
SV2A	9	-0.308	0.833462196	-0.963	0.453464222	-0.204	0.988784832	-0.345	0.549392409
SV2B	10	-0.226	0.841328889	-0.229	0.661155947	-0.438	0.964981073	0.006	0.536959249
SV2C	10	-0.043	0.692479117	-0.380	0.789436832	0.073	0.958650536	0.016	0.674861301
SVEP1	9	0.060	0.624999071	0.165	0.493352169	0.401	0.085270436	0.080	0.84336909
