#Supplementary Data 10 - Total mutation rates observed in 293T with Cas9Sp nuclease												
#Gene	293T (Control#1)	293T (CAS9 + gRNA library only)	293T (CAS9 + gRNA library + Artemis)	293T (CAS9 + gRNA library + TREX2)	293T (CAS9 + gRNA library + TdT)	293T (CAS9 + gRNA library + ddrA)	293T (Control#1) - Total Read Count	293T (CAS9 + gRNA library only) - Total Read Count	293T (CAS9 + gRNA library + Artemis) - Total Read Count	293T (CAS9 + gRNA library + TREX2) - Total Read Count	293T (CAS9 + gRNA library + TdT) - Total Read Count	293T (CAS9 + gRNA library + ddrA) - Total Read Count
KCNV2_chr9_2718138	0	1.869374567	1.603515857	4.272195937	1.344537815	1.618320611	5508	13846	9741	7521	7199	7534
KDM5C_chrX_53254043	0.616016427	0	1.445466491	2.048417132	0	0	3036	6337	4809	3779	3727	3953
KDR_chr4_55976840	0	1.483050847	0.641025641	1.831501832	0.264550265	0.395256917	1511	3586	2307	1918	1886	1880
KDSR_chr18_61018219	0	0.807299131	0.694346039	2.392631895	0.667330677	0.458586804	5739	14733	10622	7154	7257	7668
KIAA1549_chr7_138603924	0	2.487562189	3.47808191	5.352925741	2.887764216	2.269692924	3707	9171	5989	5049	4097	4968
KIF5B_chr10_32344808	0.1614205	0.3495485	0.474871389	1.310043668	0.641848524	0.9194159	2485	6452	4283	3417	3266	3387
KISS1R_chr19_917510	0	0.251037945	0.506512301	0.67201792	0.096061479	0.186846039	1128	3421	2047	993	1382	1710
KIT_chr4_55524226	0	0	0	0	0	0	2447	6536	4034	3350	2970	3019
KLF4_chr9_110250417	0	0.660844937	1.23952514	1.767131357	0.353857042	0.650078458	4493	11136	7841	5871	5486	5750
KLF6_chr10_3827148	0	0.14249525	0.202338129	0.404157044	0.279329609	0.055897149	4338	12999	8419	7186	5950	6550
KMT2A_chr11_118342382	0.548446069	3.229278794	2.126582278	3.539325843	2.266666667	6.50887574	487	1118	761	537	487	590
KMT2C_chr7_151949066	0.034264177	0.547341931	0.790388871	1.359497243	0.55026171	0.581395349	699	1416	1092	819	756	1012
KMT2D_chr12_49448505	0	1.791359326	1.84352518	7.06025563	1.134089393	0.954328562	7956	20934	14114	9989	10040	10685
KTN1_chr14_56078990	0	0.627240143	1.154664236	3.437815976	0.472103004	0.432900433	3038	6633	4859	3811	3359	3745
LASP1_chr17_37026448	0	0.947583063	1.037540087	1.509750472	0.790513834	0.97826087	1239	3433	2527	1603	1558	1849
LCK_chr1_32740368	0	0.854700855	1.569365976	4.359313078	0.974817222	0.853970965	3701	10357	6910	5357	5205	5352
LCP1_chr13_46730610	0	0	0	0.425531915	0	0	834	2918	1863	1281	1337	1392
LEPR_chr1_66067592	0	0.855365474	1.771653543	3.205128205	0.576036866	0.705882353	3052	8474	5728	5093	4239	4461
LGR4_chr11_27390632	0	2.172581177	1.552864254	3.048172757	2.08763952	2.094717668	1986	6316	4448	3464	2864	3578
LGR5_chr12_71833969	0	3.00407332	2.570601014	3.712871287	2.997002997	2.705139766	1094	2787	1975	1780	1500	1014
LGR6_chr1_202245609	0	0.676513699	0.37686075	2.52293578	0.696594427	0.382452193	5837	15895	9489	7797	7451	8084
LHCGR_chr2_48982692	0.272479564	2.731442869	1.373074347	4.097363083	1.608579088	1.76	1136	2847	2224	1643	1499	1467
LHFP_chr13_39918156	0	1.600952633	1.076858108	1.508502468	2.122641509	1.923528032	1815	4464	3291	1978	2330	1386
LIFR_chr5_38527372	0	0.247678019	0	0.153846154	0.126103405	0	3188	8337	5301	4769	4301	4600
LMO1_chr11_8251839	0	0.288184438	1.629132726	1.798561151	0	0	950	2340	1593	1514	1231	1171
LMO2_chr11_33891069	0.332225914	0.400748063	0.5859375	2.324324324	0.718232044	0.427756654	349	832	496	470	433	435
LPAR1_chr9_113704141	0	1.100937432	1.194647977	1.628895184	0.879904875	0.472334683	283	1286	508	936	868	425
LPAR2_chr19_19738053	0	0.179748352	0	1.227678571	0	0.370828183	8548	21219	13459	12040	9676	5490
LPAR3_chr1_85331159	0	0.35035035	0.474383302	1.074306177	0.826446281	0.414078675	1858	3928	2762	2424	2002	2218
LPAR4_chrX_78010794	0.082293238	0.120385233	0.061977068	0.153562654	0.103906899	0.151962099	3152	8869	5307	2616	3876	4445
LPAR5_chr12_6730060	0.129813933	0.285937094	0.433241434	0.663553699	0.172463352	0.33463469	1835	4796	2986	2465	2238	2500
LPAR6_chr13_48986120	0	3.504894222	3.630952381	4.926764314	3.17348378	3.35483871	2692	7558	4736	3646	3392	4263
LPHN1_chr19_14288529	0	0.627934604	0.273296306	1.486531798	0.882974754	0.583059472	1137	3230	2101	1950	1586	882
LPHN2_chr1_82372763	0	0.740247243	0.649554741	0.968937019	0.787401575	0.561122244	1132	2776	2087	1390	1396	1337
LPHN3_chr4_62542587	0	0.28363047	1.593371574	3.2936871	0	0.645682002	1505	3743	2560	1850	1810	2104
LPP_chr3_188327092	0	1.072736787	0.947493091	0.911392405	0.783655192	1.02489019	3536	9174	6278	4236	4205	4446
LRIG3_chr12_59313983	0	1.106955871	2.200889721	4.132712456	0.886699507	1.042287076	465	1669	949	896	672	809
LTB4R_chr14_24784882	0	0	0	0.110497238	0	0	844	1998	1054	1117	847	966
LTB4R2_chr14_24780086	0	1.033537228	0.688705234	1.326699834	0.332068311	0.621632822	7291	19936	12908	9768	9624	11187
LTBR_chr12_6493757	0	0.313217791	0.312391531	0.93388121	0.417439703	0.482017056	2311	7694	5078	4069	3479	3586
LTK_chr15_41804978	0	2.574808629	2.341287708	3.093922652	1.544401544	1.134122288	964	3167	1680	1502	1418	1550
LYL1_chr19_13211504	0	0.937290783	1.624959376	2.227496805	0.845070423	0.605350517	5802	17677	11343	8947	8041	9433
MAF_chr16_79633672	0.108499096	0.611280911	1.249496171	1.923076923	0.447015514	0.52990159	4971	13509	9545	7018	6604	7485
MAFB_chr20_39317247	0	0.301724138	0.511302476	1.404662283	0.100569896	0.400266845	927	2468	1569	1093	1057	1239
MALT1_chr18_56338881	0	0.711929154	1.183098592	1.647133354	1.155423034	0.477414616	3071	7644	5066	3950	3573	4098
MAP2K1_chr15_66679728	0	0.396220664	0.302724521	0.724160632	0.473292765	0.333778371	2315	6685	4271	3436	3045	3358
MAS1L_chr6_29455352	0.148022838	2.115527642	1.566104164	2.02435813	1.188118812	1.197793538	1374	3644	2368	1810	1750	1701
MAX_chr14_65569033	0	3.321488501	2.180347989	4.222990674	2.725535553	2.223437215	1453	4741	2904	2412	2108	2413
MC1R_chr16_89985845	0.056858564	0.209326666	0.512019439	0.674915636	0.275020926	0.187012987	1672	4789	2881	2677	2156	2697
MC2R_chr18_13885445	0	0.528102603	0.454115421	0.774027091	0.319096711	0.505902192	1275	2874	2221	1810	1554	2028
MC3R_chr20_54824354	0	3.722772277	2.255434783	3.396358543	3.756574005	1.83264177	3640	8962	6154	5477	4615	5121
MC5R_chr18_13826208	0.025239778	1.51726995	1.311922002	2.080195783	1.14492317	1.103617413	2765	7198	4962	3796	3803	3963
MCHR1_chr22_41075540	0	0.712504453	0.669124676	0.586510264	0.639032815	0.501174628	1940	6960	3716	3346	2983	2998
MCOLN1_chr19_7589969	0	0.219622822	0.27446675	0.419642857	0.141214444	0.131603685	2055	5759	3550	3157	2683	2723
MDM2_chr12_69210609	0	0.203183204	0.512820513	1.28314799	0.409836066	0.248756219	1033	3281	1982	1519	1479	1498
MDM4_chr1_204518417	0	0	0	0	0	0	29	32	118	27	141	151
MED12_chrX_70338618	0	2.358887953	1.618398637	1.836969001	1.455767077	0	4729	12101	8237	6076	6060	6345
MEN1_chr11_64577524	0	1.537804357	1.678657074	2.981132075	1.413721414	1.724137931	8064	20262	13851	9543	9943	10974
MERTK_chr2_112705095	0	0.201511335	0.154320988	0	0.22675737	0.318471338	7035	17198	11523	8890	8363	9625
MET_chr7_116339261	0	1.818698494	1.462819992	3.013278856	0.770598696	1.398176292	3258	7953	5285	4651	4074	2372
MIP_chr12_56847517	0	0.571428571	2.800361337	4.632152589	0.260078023	0.494437577	2300	5050	3680	2856	2662	2892
MITF_chr3_69788756	0	0.185609107	0.136438944	0.133982948	0.110466722	0.093359785	7924	19311	13949	10624	9957	11417
MKL1_chr22_40827449	0	0.933786078	0.932090546	2.2	0.846023689	1.125401929	4441	11228	7323	6138	5790	6385
MLF1_chr3_158315943	0	0.24706609	0.129032258	0.363705972	0.354295837	0.255801206	6950	20945	12752	11200	9914	10638
MLH1_chr3_37035043	0	0.079145231	0.094073377	0.081900082	0.079512324	0.049517207	1539	2953	1755	2338	1220	1206
MLLT1_chr19_6270744	0	1.157451693	1.18159204	2.182438193	0.729335494	0.505689001	228	656	484	473	380	316
MLLT10_chr10_21823582	0	0.329144225	0.711692084	0.653710247	0.379027164	0.513478819	580	1187	1174	871	893	862
MLLT3_chr9_20620709	0	0.114926988	0.174180328	0.267652307	0.111716241	0.052198878	1932	4682	3336	2650	2405	2784
MLLT4_chr6_168265332	0	1.890677649	1.208702659	3.30084879	1.75315568	1.223544974	721	1985	1296	980	882	942
MLLT6_chr17_36861960	0	4.004149378	3.018867925	3.022670025	2.821442967	3.857824014	1289	3519	2461	1958	1687	1645
MN1_chr22_28196452	0	0.252472123	0.179340029	1.389532191	0.353669319	0.465707028	613	1575	1107	734	769	809
MPL_chr1_43804266	0	1.505040466	1.034037053	1.549053356	1.429025087	1.402487431	6368	16163	10261	8210	7242	8569
MRGPRD_chr11_68748405	0	1.757342321	1.633986928	2.41046832	1.378958121	1.090564248	388	1178	751	500	591	622
MRGPRE_chr11_3249983	0	1.867743564	1.811594203	3.155603917	0.853080569	1.13960114	4131	9714	6200	5224	4516	5473
MRGPRG_chr11_3239952	0	0.279827016	0.114285714	0.346363187	0.230414747	0.101061142	2809	7581	5315	3663	3773	4039
MRGPRX1_chr11_18956076	0	0.190269095	0.255863539	0.297324083	0.111669458	0	3896	10454	6432	5865	4936	5537
MRGPRX2_chr11_19076977	0	1.662707838	2.194357367	0.638977636	0	0	3858	10026	6885	5660	4749	5453
MRGPRX4_chr11_18195076	0	0.142869899	0.17833259	0.624199744	0.12508935	0.208659364	5467	14792	9760	7846	7161	7663
MSH2_chr2_47630381	0	0.183038438	0.091767174	0.309650783	0.238488351	0.083250083	2246	5342	3723	3181	2852	3024
MSI2_chr17_55334143	0	1.362162162	2.96689569	5.327181208	1.592920354	0.955149502	1791	4820	3180	2779	2481	2307
MST1R_chr3_49940851	0	1.57480315	0.910194175	1.509661836	1.454234388	1.017811705	1372	4753	2788	2159	2262	2362
MTCP1_chrX_154294216	0	0.083006339	0.097423685	0	0	0.028101728	23	263	101	122	101	138
MTNR1A_chr4_187455655	0	3.848027277	3.413400759	4.6141607	2.787456446	2.532679739	2441	7043	4642	3486	3149	3779
MTNR1B_chr11_92702908	0	0.591060214	0.900716479	2.238633741	0.445960126	0.303030303	1607	4154	2754	1452	1958	2109
MUC1_chr1_155160211	0	1.888854199	1.703219785	2.40284782	1.381129733	1.118188252	831	1981	1380	919	1055	1404
MUSK_chr9_113449402	0	0.288350634	0	0.417246175	0.413793103	0	1486	3931	2625	2021	1736	1979
MUTYH_chr1_45799166	0	5.007473842	4.161849711	6.58436214	1.871657754	3.715170279	1445	3679	2345	2018	1791	1963
MYC_chr8_128750541	0	2.120974077	2.917771883	5.236907731	0.613496933	1.783264746	144	421	319	313	237	258
MYCL_chr1_40366915	0	0.100908174	0.118577075	0.938967136	0.342270394	0.424499697	3869	11199	6729	6248	5596	5751
MYCN_chr2_16082240	0	1.656817222	2.026306434	2.529626253	1.529441754	1.1377741	3900	11473	7628	5813	5451	6006
MYD88_chr3_38180284	0	1.122586439	0.469798658	2.254509018	0.990507635	0.98928277	1878	4625	3202	2384	2260	2408
MYH9_chr22_36744960	0	1.302012201	1.207434541	1.511627907	0.833333333	0.873645041	805	3175	1648	1656	1169	1179
NACA_chr12_57114004	0.239120038	0.323719835	0.258276591	0.494590417	0.099206349	0.387596899	4796	13252	9238	6715	5990	7117
NBN_chr8_90982670	0	0	0.080775444	0	0	0	779	2053	1582	1257	1148	1224
NCKIPSD_chr3_48723182	0	0.558108995	0.32994226	0.553329517	0.353059852	0.218204489	2981	8121	4885	4333	3812	4950
NCOA1_chr2_24881555	0	0.258732212	0.46113307	0.159744409	0.26929982	0.510638298	5151	12812	8572	6742	6444	7065
NCOA2_chr8_71078955	0	1.663982823	2.51768965	3.86843194	1.895206243	1.622477246	450	1734	787	719	725	790
NDRG1_chr8_134260992	0	1.294117647	3.771551724	5.696018599	0.824964132	1.712014674	554	1338	865	729	748	646
NF1_chr17_29422357	0	0.769716088	0.510948905	1.378676471	0.537765827	0.53816047	590	1273	754	802	652	729
NF2_chr22_30000040	0	0.699682956	0.49656784	1.495251566	0.548446069	0.683501044	1330	2973	2530	1704	1753	1649
NFE2L2_chr2_178098916	0	0.213675214	0	0	0.280112045	0.81300813	3525	9476	5626	4388	3923	4834
NFIB_chr9_14307457	0	0.066474629	0	0.155642023	0	0.126475548	1495	4454	2980	1996	2423	2426
NFKB2_chr10_104156210	0	0.772200772	0.891265597	3.406813627	0.377358491	1.450777202	4404	10983	7371	6020	5520	6181
NGFR_chr17_47583701	0	1.187360667	0.689254879	1.276161307	0.769718374	1.029349213	2091	6796	4259	3235	3024	2580
NIN_chr14_51239774	0	0.125	0.095480586	0	0	0	1323	3451	2476	2608	1801	1058
NMBR_chr6_142409740	0	2.234670163	2.074330164	3.230002168	1.700802491	1.778242678	4555	12184	7274	5241	5948	6416
NMUR1_chr2_232393441	0	1.245704467	0.659195781	1.503164557	1.063829787	0.724637681	799	2319	1518	1252	1114	1175
NMUR2_chr5_151784331	0	0.423928403	0.42449493	0.962506995	0.464330941	0.543071161	3801	9315	6077	4834	4485	5054
NOTCH1_chr9_139417445	0	0.348796652	0.731070496	0.850228908	0.659195781	0.921658986	2230	5950	3712	3441	2788	3271
NOTCH2_chr1_120512279	0	0.236756437	0.195694716	0.860759494	0.46760187	0.209314495	3263	7925	5480	4352	4091	4088
NPBWR1_chr8_53852538	0	0.621439669	0.154083205	0.28708134	0.531349628	0.214362272	2555	9147	6847	4949	4923	5267
NPBWR2_chr20_62737969	0	1.246310266	1.84388445	2.631578947	0.755287009	0.694006309	461	1404	885	902	714	369
NPFFR1_chr10_72025939	0	0.19874862	0.567128367	0.941746267	0.289501752	0.236176716	1603	4513	3250	2570	2355	2372
NPFFR2_chr4_72897624	0	2.236973117	1.82984997	2.92132216	1.55674391	1.516983621	638	1554	1122	998	795	965
NPSR1_chr7_34698049	0	0.3859708	0.820344545	1.006036217	0.589050589	0.312597687	7968	20634	13783	9795	11043	11755
NPY1R_chr4_164247267	0	1.495954816	1.776360738	2.510040161	1.158301158	1.136048767	1077	3200	3142	1722	1457	904
NPY4R_chr10_47086924	0	1.262886598	1.406524712	3.23935213	1.186206897	1.136363636	6926	16781	11570	9226	8349	9560
NPY5R_chr4_164272402	0	0.143369176	0.32485111	0.260586319	0.966850829	0.430416069	924	2328	1517	1264	1316	1104
NR0B1_chrX_30327177	0	1.22605364	0.68631409	2.315270936	0.925925926	1.164637374	7501	19107	12721	8935	9476	10680
NR0B2_chr1_27240306	0	0.96759676	1.49324861	3.202579258	0.904926824	0.621510587	975	2867	1915	1529	1517	1519
NR1D1_chr17_38253452	0	0.43100612	0.505347856	1.03485493	0.349819059	0.343459466	1139	3379	2044	1975	1497	1911
NR1H2_chr19_50881508	0	1.414612804	1.539190149	2.015380536	0.939727803	0.815217391	719	1931	1298	1045	941	933
NR1H3_chr11_47282010	0	1.727574751	1.221498371	2.362687941	1.194083051	1.03991436	992	3049	1627	1140	1324	1585
NR1H4_chr12_100934536	0	1.174168297	0.354400473	2.35640648	1.278772379	0.367197062	4681	13585	9169	7433	6563	7198
NR1I2_chr3_119528910	0	0.716275368	0.640569395	1.672240803	0.853970965	0.711743772	7056	15065	11531	8592	8415	9097
NR1I3_chr1_161199661	0	0.912476723	0.61695279	1.589544331	0.989707047	0.733752621	2289	5959	3657	3479	2886	3199
NR2C1_chr12_95456417	0	3.349475383	1.75	3.044982699	1.688888889	2.350081037	2624	6551	4391	3984	3367	3609
NR2C2_chr3_15057693	0	1.195814649	1.785714286	5.284552846	1.083815029	1.905770249	3052	7760	5119	3334	3625	4136
NR2E3_chr15_72103834	0.041084634	3.00739657	1.822642832	2.505446623	2.135637431	2.19941349	1083	2790	1847	1535	1448	697
NR2F1_chr5_92920757	0	1.613291596	1.2	3.299293009	1.732209738	0.792657489	1542	3915	2477	2030	1944	1889
NR2F2_chr15_96877405	0	0	0.385356455	0.389105058	0	0.168463612	7188	17776	12590	9305	8951	9493
NR2F6_chr19_17355936	0	0.676848317	1.066337412	3.342439338	0.521446594	0.441104395	11586	30394	20382	15751	16580	16887
NR3C1_chr5_142780050	0	1.056428755	0.610997963	1.814300961	0.358422939	0.46997389	2910	6857	4223	3771	3086	3680
NR3C2_chr4_149357455	0	0.517598344	1.546391753	2.798507463	0.666666667	0	4477	12040	7368	6518	5611	6539
NR4A1_chr12_52448276	0	0.353724511	0.220125786	0.268199234	0	0.200883889	875	2555	1693	1358	1173	817
NR4A2_chr2_157186617	0	0.71458596	0.385356455	0.673904905	0.568181818	0.422021868	853	2513	1405	1196	1171	1124
NR4A3_chr9_102590375	0	0.061842919	0	0.145243282	0.11254924	0	2048	5370	3728	2831	2526	2862
NR5A1_chr9_127265647	0.090036014	0.590783773	1.906443071	1.704985792	0.682680152	0.606207565	1162	2478	1600	1445	1125	1234
NR6A1_chr9_127533370	0	1.102709515	1.378716071	1.819184123	1.037613489	0.767754319	1300	2676	1792	1722	1384	1889
NRAS_chr1_115252229	0	0.589408778	1.040383299	2.372666878	0.714783821	0.504504505	4868	12303	8559	6426	6134	6138
NT5C2_chr10_104849578	0	3.976234004	3.461425638	4.848736013	2.681992337	1.905117669	1726	4153	3000	2546	2136	2397
NTRK1_chr1_156811896	0	0.37458194	0.426026336	0.641816835	0.429307384	0.405165865	2195	6342	4152	3341	2986	2968
NTRK2_chr9_87285829	0.034885749	0.227029072	0.308036964	0.334848122	0.20974707	0.134048257	4897	11524	8909	6223	5945	6121
NTRK3_chr15_88799162	0	2.170542636	1.632653061	3.03030303	1.501501502	1.700680272	1286	3881	2455	1874	1674	1915
NTSR1_chr20_61340679	0	0.564560189	0.62150404	0.965250965	0.577557756	0.233553912	274	966	582	536	450	460
NTSR2_chr2_11810087	0	1.14213198	0.207900208	0.96	0.736377025	0.92226614	1704	4806	3180	2610	2343	2489
NUMA1_chr11_71732280	0	0.855431993	1.2300123	2.938901779	0.686695279	0.385356455	3738	9516	6747	5342	4576	5213
NUP214_chr9_134001111	0	0.543172879	0.645251788	0.880609653	0.551369234	0.468603561	1322	3234	2020	1377	1777	1827
NUP98_chr11_3756435	0	0.449943757	0.309119011	0	0	0	3332	7617	5665	3871	3955	4124
NUTM1_chr15_34640205	0	0.874125874	0.742311771	0.715015322	0.468384075	0.477554919	1232	3174	2321	1814	1542	1563
OLIG2_chr21_34399403	0	1.048543689	1.393870232	2.331358685	0.612266441	0.584307179	4593	11028	7305	6322	5736	5550
OPN1SW_chr7_128415552	0.113733295	0.233242065	0.135931128	0.095383441	0.042689434	0.245932652	1748	4376	3409	2413	2349	2677
OPN3_chr1_241803195	0.050942435	1.751736635	1.892371378	3.094462541	1.182492058	1.688938382	2635	7475	5164	4051	3494	3949
OPN4_chr10_88417831	0.183374083	0.447245375	0.065530799	0.120192308	0	0	5733	15857	10713	8362	8105	8952
OPN5_chr6_47763060	0	0.417863672	0.275735294	0.578806768	0.612244898	0.525486075	294	645	490	396	333	294
OPRD1_chr1_29138896	0	2.065767285	1.439069198	5.62749004	1.43207856	1.024279211	1858	5491	3218	2590	2424	2569
OPRK1_chr8_54163569	0	2.527981474	2.614701529	3.964456596	2.099167571	2.276064611	469	1576	962	625	679	759
OPRL1_chr20_62724229	0	0.216416757	0.30961464	0.720193953	0.216735041	0.142007033	1026	2338	1626	1293	1165	1038
OPRM1_chr6_154360661	0.320170758	0.36939314	0.755667506	1.711840228	0.814901048	0.353773585	3829	10678	7129	5905	5441	5335
OR10AD1_chr12_48596995	0	0	0	0.470588235	0	0	338	889	647	492	513	294
OR10C1_chr6_29407999	0	1.745125498	3.511655708	4.567769477	1.463521188	1.481481481	739	1716	943	979	854	1047
OR10G3_chr14_22038148	0	0.20715943	0.152632918	0.310672515	0.050496549	0.243033052	7439	18025	12268	10466	9473	10782
OR10G7_chr11_123908890	0	0.802692905	0.165562914	0.667693888	0.32615786	0	3517	9861	6621	5242	4685	5286
OR10H1_chr19_15918801	0.06443299	1.412049489	1.676445935	3.646329838	0.76433121	1.322556943	3926	9933	6764	5526	5666	5388
OR10H3_chr19_15852602	0	3.400904674	4.051126516	9.140911472	3.641370869	2.929901424	1636	4919	3052	2496	2265	2147
OR10P1_chr12_56031064	0	1.799959092	1.758431825	1.413832633	1.385493073	0.92879257	1256	3829	2176	2246	1960	1903
OR10Q1_chr11_57995400	0	0.344129555	1.328390485	1.779513889	0.327255727	0.67539046	1944	4744	3266	2008	2444	2636
OR10S1_chr11_123847791	0	0.931470393	1.078167116	3.791773779	1.579325197	1.111111111	2430	5182	4054	2926	2763	2724
OR10T2_chr1_158369110	0	0.207939509	0.149566258	0.764818356	0.22172949	0.195160031	10100	25876	18087	14024	12919	14788
OR10V1_chr11_59480623	0	0.069156293	0.319914689	0.333667	0.204848071	0.093691443	937	1895	1588	701	859	848
OR10X1_chr1_158549492	0	0.24968789	0.631768953	2.076677316	0	0.483675937	197	714	481	425	298	449
OR11A1_chr6_29395097	0	2.170100833	7.642442852	6.078028747	2.183406114	1.583710407	4177	9283	6692	4685	4578	4860
OR12D2_chr6_29364674	0	0.879604178	0.878992089	1.485748939	1.03473762	0.555898703	4351	12068	7862	5472	5941	6172
OR13C4_chr9_107288800	0	0.365853659	0.243013366	0.256410256	0.257953568	0.166112957	1347	3862	2416	1947	1533	1915
OR13C8_chr9_107331459	0	0	1.176470588	0.279329609	0.329489292	0	3104	7436	4772	4196	3925	4083
OR13G1_chr1_247835653	0	0.483569623	0.194003527	2.171136654	0.390804598	0.126662445	2828	5969	4616	3818	3268	3652
OR13H1_chrX_130678719	0	0.031502678	0	0.057692308	0.043554007	0.039154268	1776	4889	3469	2617	2454	2584
OR13J1_chr9_35869685	0	2.011049724	1.385224274	5.84498094	2.756653992	2.003205128	1799	4940	3237	2304	2139	2369
OR14C36_chr1_248512310	0	0.314529221	0.317412334	1.393056151	0.334522748	0.131955135	1055	3006	1855	1556	1393	1530
OR14J1_chr6_29275317	0	0.205882353	0.49382716	0.306936771	0.260756193	0	1652	5290	3343	2615	2255	2562
OR1B1_chr9_125391778	0	0.107668381	0.264500283	0.781446937	0.185013876	0.143061516	2174	5784	3751	2997	2929	3202
OR1C1_chr1_247921560	0	0.859497088	0.851555929	1.950038236	0.600944341	0.880883513	517	1602	1108	626	748	827
OR1F1_chr16_3254261	0	1.961218837	1.666383268	4.94874514	2.556818182	1.569100785	1837	4562	2931	2435	2061	2210
OR1I1_chr19_15198446	0	1.426940639	2.841781874	3.665814152	0.654307525	1.523297491	35	86	59	20	63	24
OR1K1_chr9_125563184	0	0.296091591	0.477184611	1.984929241	0.656716418	0.54613936	1998	5457	3413	3298	2706	1619
OR1M1_chr19_9204400	0	1.4590524	1.673306773	3.073089701	1.768488746	1.051939513	917	2460	1646	1170	1163	1204
OR1N1_chr9_125289293	0	0.312565118	0.302892625	0.305343511	0.336275746	0.692383778	464	1342	850	716	607	683
OR2A12_chr7_143792985	0	0.924712954	0.514138817	0.479413424	0.950871632	0.663814722	3320	9099	5670	3915	4350	4737
OR2A2_chr7_143807597	0	0.15625	0.355871886	0.431965443	0.596125186	0	3320	9523	5737	5200	4592	5108
OR2AE1_chr7_99474535	0	1.536742107	0.799344128	1.695419393	0.967920354	0.476548784	1691	4525	3032	1574	2104	2496
OR2AK2_chr1_248128878	0	0.32808399	0.680720246	0.64171123	0.347500668	0.191570881	3533	9856	6616	4666	4484	4547
OR2B11_chr1_247614927	0	0.030448352	0	0	0.049800797	0	1305	3400	2025	1629	1534	911
OR2C1_chr16_3406503	0	1.230769231	2.110199297	9.775641026	1.831501832	0.492610837	2934	8359	5293	3967	4324	4194
OR2C3_chr1_247694953	0	2.615062762	3.016453382	1.638477801	1.565690946	0.64440539	5484	14078	9512	7846	6989	7606
OR2D2_chr11_6913060	0	0.644122383	0	0.22296544	0	0.3125	3856	9025	5881	5658	4576	4971
OR2F1_chr7_143657441	0	0.671492108	0.393894633	0.95659876	0.468975469	0.730186999	820	1752	1302	1173	917	1116
OR2G2_chr1_247752245	0	4.02133771	5.43601359	4.829721362	3.172314348	3.65448505	3956	10132	6706	5441	5025	5310
OR2G3_chr1_247769181	0	0.225903614	0.917581517	1.014072848	0.344669118	0.169455624	2575	6374	3765	2408	3110	3042
OR2G6_chr1_248685079	0	0.765639589	1.230123012	1.446587537	0.5409304	0.656757691	3731	9598	6603	5240	4758	5055
OR2H1_chr6_29429549	0	0.937612694	2.273957769	4.002287021	1.923076923	1.087695445	4604	12977	8169	7092	6310	6779
OR2J3_chr6_29080335	0	2.544283414	2.580947912	4.149377593	1.793185894	1.732377539	547	1280	843	926	671	750
OR2T1_chr1_248569410	0	0.446096654	0.603400987	2.37946149	0.351493849	0.284090909	2581	7158	4879	3362	3616	3987
OR2T6_chr1_248551673	0	0.31152648	0	0	0	0.592592593	2762	7620	4554	3740	3741	3654
OR2V2_chr5_180582404	0	1.746603826	1.426872771	1.928530913	1.19868145	1.19840213	4261	13137	8425	6924	6024	6906
OR2W3_chr1_248058988	0	0.378024194	0.872727273	2.162162162	0.661241099	0.584269663	350	1300	853	624	546	609
OR2Z1_chr19_8841891	0	0.414408671	0.883218842	1.174168297	0.23364486	0.508905852	1269	2868	2188	1892	1469	1707
OR3A2_chr17_3181509	0	1.970096746	2.382445141	2.710843373	1.342812006	0.925925926	246	3105	552	897	650	640
OR4B1_chr11_48238451	0	0.836570063	1.352003863	1.60538581	0.530503979	0.498504487	4529	11467	8124	5645	5544	5615
OR4C11_chr11_55371121	0	1.513452915	1.838578997	2.290388548	1.359223301	0.869221652	1053	2437	1766	1615	1387	1505
OR4D2_chr17_56247759	0	0	0	0	0	0	3206	9296	6103	4832	4352	4721
OR4D5_chr11_123810991	0	0.923727939	0.951066114	2.251868673	0.779431117	1.044984076	1948	5355	3333	2696	2773	2893
OR4F15_chr15_102358488	0	0.885960927	0.693000693	2.047244094	0.466200466	0.568504832	1004	2773	1847	1749	1196	1471
OR4K1_chr14_20404414	0	1.991134365	2.323968089	3.773265651	1.745673439	1.788027987	1487	3105	2131	1928	1673	1674
OR4K14_chr14_20482658	0	1.191391238	2.388888889	3.55704698	1.22605364	1.41604855	1097	2690	1823	1597	1138	704
OR4K17_chr14_20585632	0	1.89701897	2.038834951	3.896103896	1.595744681	1.379310345	659	1605	1098	938	787	675
OR4K5_chr14_20389655	0	0.368227249	0.522583053	0.78705728	0.29211295	0.45941807	2763	7214	5046	3526	3337	3755
OR4N5_chr14_20612550	0.0486618	1.327088212	0.725794745	1.227858293	1.659751037	0.915213262	1391	3968	2750	2590	1966	2225
OR4S1_chr11_48328357	0	1.149537263	1.127257911	1.617724635	0.879249707	0.941942113	1140	3137	2038	1533	1712	1572
OR4S2_chr11_55418962	0.036866359	1.100823795	1.452732003	1.810066948	0.859375	0.864221241	1999	5685	3190	2988	2532	2700
OR4X1_chr11_48285809	0	0.410396717	0.751574243	1.687322682	0.620058906	0.516077809	1233	3347	2071	1931	1508	2006
OR51B2_chr11_5345179	0	0.466870174	1.923076923	1.535017589	0.261096606	0.511945392	1834	5352	3209	2445	2575	2531
